"time"	"MKKK"	"MKKK_P"	"MKK"	"MKK_P"	"MKK_PP"	"MAPK"	"MAPK_P"	"MAPK_PP"
0	90.0307189969155	9.923543687379	280.028191003884	10.0074302844824	10.0040034555355	279.98280277359	9.98812807884759	9.99475546587091
0.25	89.7046011117646	10.2265105236636	280.00034344839	10.0680672531298	9.93944065296146	279.9852802583	10.0295694805696	9.98844777212624
0.5	89.4771767755838	10.4709152876637	279.986463285513	10.0929402527881	9.93640229153619	279.993960477042	10.0781511266895	9.93730438961964
1	89.0839134061041	10.9390072896207	280.099827627906	10.1335931059828	9.76319442315868	279.962925138571	10.1289023223652	9.89217766071788
1.5	88.5932746068648	11.3778056423605	280.068107902593	10.2437058677008	9.73368140999977	279.93888964975	10.1898205710256	9.85737809095352
3	87.2315803559997	12.7073757168144	280.10733957347	10.4316985157737	9.42631424025666	279.93459383644	10.3743129599055	9.68220469891405
4.5	85.7920395993491	14.1259889952127	280.12839307869	10.6765620243107	9.20183126935799	279.934040006325	10.5744384529932	9.55624644667922
6	84.4196956483621	15.5656574019141	279.986816381475	10.922985037393	9.06695133905853	279.888177329175	10.7420044341779	9.38153134425782
7.5	82.9974843143137	16.947244159286	279.875442550645	11.156639723539	8.92242993392939	279.891695766597	10.8638085467074	9.26331764196131
9	81.6444519391902	18.4530531420931	279.756703711156	11.4872004473422	8.73172497323984	279.853391277138	10.9954702060148	9.12453421420407
10.5	80.2406350553945	19.7477653971663	279.574502990128	11.759891269502	8.62697168924679	279.873702346989	11.1513455071102	8.96771502894345
12	78.8473568427273	21.052120509193	279.345133148547	12.0767544950457	8.49592951697785	279.903317976872	11.2746395072749	8.81458523770465
18	73.1375993870576	26.864571432978	278.125428588554	13.3761342257494	8.58181976310254	279.970869103109	11.7370553269441	8.29270123589276
24	67.3450968066931	32.5268559869364	275.922268491995	14.9268278401876	9.10790231928022	280.056579859205	12.1067121603636	7.81968820906063
36	55.8167172764199	44.1848904829135	269.756649952638	18.6606417373174	11.5596817366429	279.904898517155	12.8945968554592	7.21475875710652
48	44.4817327194573	55.5295926369279	260.818045190801	23.1402457297825	15.9920055960403	278.842024380948	13.9522293908751	7.2059940527093
100	14.1990700240861	85.8177888272558	197.604079898564	45.7472793295011	56.6482765747334	251.68922020653	27.0214662297118	21.2874338912463
