"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,89.997052387266,10.0126364969952,280.049682252122,10.0035244123404,9.96159120488742,279.988992038634,9.96131537685254,10.0056156515809
"2",0.25,89.6750203341567,10.1215372366857,279.951566294775,10.0218620319245,9.95380236859975,279.963035398686,10.0152140160492,9.98682211424926
"3",0.5,89.5322437684607,10.5234083268851,279.982015852144,10.0883205612576,9.88074180704794,279.983896571739,10.0569041781441,9.93343837816694
"4",1,89.1498843152034,10.9228631860165,280.130729548565,10.0973655850814,9.74623153159302,279.915457022069,10.1253676998267,9.88166052817948
"5",1.5,88.5894546225896,11.4437746972875,280.151594210786,10.246326152877,9.65649312317237,279.942222748602,10.2063536047794,9.85474251889528
"6",3,87.2529565277918,12.7132056456705,280.175376949847,10.4978484517069,9.4551215966998,279.926464523189,10.3654103008746,9.67986304971652
"7",4.5,85.6158748462019,14.1270635197058,280.118384459656,10.6395173208462,9.13972879712547,279.908800953427,10.5559246359301,9.53372547975427
"8",6,84.4435063743036,15.6128093068759,279.885814050624,10.8884984658329,8.9832898517253,279.862250896898,10.7351998318666,9.35409210629482
"9",7.5,82.9244593332528,16.9438752974192,279.866850261848,11.1718524337078,8.99285213232859,279.852842809765,10.8704451782065,9.25292427717806
"10",9,81.6606981434939,18.5034748516835,279.729104737963,11.5134635854031,8.71291506596152,279.863615979412,11.0244324746507,9.13111283746023
"11",10.5,80.1976606494435,19.8909147787422,279.573901496628,11.7335721987211,8.66365402807048,279.871237783382,11.1823649196033,8.9451884878941
"12",12,78.836795631857,21.0840740745519,279.339039887484,12.0550980351827,8.53939447400873,279.918667850126,11.25885762138,8.81487257266042
"13",18,73.0436532308577,26.8183385457653,278.024854549947,13.3956373593186,8.52425539268215,279.954332099343,11.7220601665813,8.27817928196624
"14",24,67.4066683327103,32.5352743768631,275.988070542635,14.9679431655256,9.12863793334467,280.033839947311,12.1160491242742,7.82865450572569
"15",36,55.9639225089625,44.2501023130947,269.80597581813,18.6503317454313,11.5388051982913,279.923053358542,12.8989160258076,7.20886568803558
"16",48,44.3876415349783,55.5214042948255,260.762528925091,23.1335170824332,16.0281944587725,278.904179972601,13.9766883989285,7.21651334772167
"17",100,14.1405192873199,85.8286400348496,197.524162514294,45.7917664882677,56.6339306830095,251.736856314978,27.0162262947821,21.2766438370738
