"","time","MKKK","MKKK_P","MKK","MKK_P","MKK_PP","MAPK","MAPK_P","MAPK_PP"
"1",0,282.38615604819,-7.60232900055424,-312.343603538068,259.807512974316,238.213525251982,98.4312396368523,58.1609746174436,-57.4408768191983
"26",0.25,-285.87987990791,188.624804530303,274.726039331881,-81.8966651401904,10.673834352998,-44.6100302413583,-27.715705538057,41.8383669449849
"51",0.5,-100.621402798396,88.0291104732489,100.90156923701,-19.7272708011074,-4.06514499571209,-14.8464911240467,-9.33075384971538,14.3674184788711
"101",1,-38.6830307110557,46.1110025521894,41.1496829462976,-3.83620288722675,-9.30084372495621,-5.46933578897324,-2.63358760819976,5.21001045517799
"151",1.5,10.1459845585907,13.1128092563841,8.27398748947417,-1.95167215585457,-10.3359692334131,5.40982857773997,1.6912691706974,-0.687856066711845
"301",3,8.35049997563431,6.69571969540428,-3.8406797193602,0.616283901941017,-7.67408106205991,3.75056597255252,2.33971582910542,-1.67369883512869
"451",4.5,4.35239112586316,4.97998178110493,-6.31711084787412,0.640342344597755,-9.92867609889103,-0.726728057315995,2.64514281421846,-0.908853895912998
"601",6,-0.858298537409041,5.57595936913557,-5.20396635181442,1.59258599168055,-7.96977263308563,-1.54197732859984,2.04059884445051,-0.457115945701858
"751",7.5,-9.15814331894182,6.46824314702243,-2.76376128778111,2.42921964882648,-5.29442097825772,-1.56602059087163,0.614411480786003,0.0570793502738809
"901",9,-10.3890185587545,7.16502798308483,-3.06831749639969,3.17009483902453,-3.05196321229317,-1.27000168885161,0.52739254326184,-0.0873313229465822
"1051",10.5,-10.0279736236502,7.95468705664604,-3.93129037445306,4.24982200317636,-0.435557268570363,-0.582498439939627,0.638810813525126,-0.367103882068065
"1201",12,-10.5524579080765,8.00317990262656,-4.03020328320736,4.54427827363979,1.53921511855515,-0.329701027226292,0.445708257085897,-0.443887933201381
"1801",18,-9.81526065510252,8.30755021745233,-3.60884618589807,3.98593596891139,2.48612074862375,-0.188668338523712,0.593415656798157,-0.845753211015321
"2401",24,-9.56532737849614,8.16007715101819,-7.81006720774258,4.4335005079752,4.89457068023924,-2.02131546910778,1.40223591448496,0.393143060334111
"3601",36,-9.06399418158088,7.76901991168444,-11.6987868308911,4.81887774538592,6.78218948454479,-3.75776303411612,2.15214476168946,1.63349352105691
"4801",48,-7.01191614366792,6.05523659322671,-10.5800391244486,3.93571998229447,6.12770617334135,-3.54826291328436,1.96007462313119,1.68822325132112
