"","V1"
"V1",718.418813942503
"n",347.048161566471
"Ki",9.44673649744186
"K1",609.592276410133
"V2",172.751879137828
"K2",221.288448208348
"k3",1.81537574965403
"K3",0.0256898510945179
"k4",0.0425797095942242
"K4",1757.87916223564
"V5",21.3155563641628
"K5",291.788171586924
"V6",449.170735597408
"K6",104.492383508677
"k7",1.2340180060191
"K7",0.505520685409104
"k8",4.03111966339557
"K8",8.13673552770958
"V9",52.2521295006151
"K9",11.4824833118117
"V10",12.6825287980419
"K10",0.00574316296695836
