"","time","JAK2","pJAK2","Epo","EpoR","pEpoR","SHP1","mSHP1","Delay01_mSHP1","Delay02_mSHP1","Delay03_mSHP1","Delay04_mSHP1","Delay05_mSHP1","Delay06_mSHP1","Delay07_mSHP1","Delay08_mSHP1","actSHP1","SOS","mSOS","Raf","pRaf","MEK2","pMEK2","MEK1","pMEK1","ppMEK2","ppMEK1","ERK1","pERK1","ERK2","pERK2","ppERK1","ppERK2","pSOS"
"1",0,2.98544360333281e-05,0.000100733009836869,0,3.56917324404247e-05,1.92742506549395e-05,0.00388676858872725,3.46937821011268e-05,9.26820932971979e-05,4.76115831186874e-05,0.000150162284552234,6.92669198879289e-06,3.01217111012137e-05,3.10447526142583e-05,1.53600748365127e-05,3.274708947074e-05,0.000793557583687586,2.45209876961049e-05,1.77217275468449e-10,3.59208616248497e-12,7.23036316030007e-12,8.73310998247728e-07,3.63543316073476e-07,1.78562682350578e-06,1.57991087216501e-07,1.59004164322036e-06,2.18638277452848e-07,0.000244663850024748,2.72101857771265e-05,0.000140057568066802,0.000106142396039559,7.15169001229079e-06,4.40747238504545e-05,2.70845694038604e-06
"2",0.25,2.14981301944737e-05,0.000182615337169305,0,3.57160034993821e-07,4.16293757744922e-07,0.000908182683550895,2.38647666390475e-05,6.139390056547e-05,0.000139060466246928,9.80633690309694e-06,2.32374677073921e-05,3.82461344398027e-05,3.91033798179971e-05,9.30425288419328e-07,3.81702068183363e-05,0.00153645546536395,4.69292784614676e-07,1.53932400442701e-09,1.62842269166776e-10,1.82210243993421e-10,6.66092131615806e-07,3.85703009862088e-08,7.12929585988482e-07,5.55427529001903e-08,1.75815951097608e-06,2.58717135707621e-07,2.50117551214427e-05,1.02830859972668e-05,0.000414724091158055,0.000113719931418749,3.39734520775922e-06,7.06494991278809e-05,3.24509905971381e-05
"3",0.5,8.11133227430574e-05,5.83951265178569e-06,0,9.7556345647772e-05,1.9306517268191e-05,0.000992829976254692,0.000418874964443722,3.564253813333e-05,0.000143705890222488,3.36520395212122e-05,1.76165987134313e-07,1.99578003054941e-05,3.61012987649238e-07,6.86068004127479e-06,2.3352470497892e-05,0.00273533617911488,4.6279596774679e-06,8.43552623058503e-10,1.26114015762469e-10,1.30105377871304e-10,3.77889099285126e-06,2.48073196291699e-07,6.04397408823612e-07,3.98155444426929e-09,4.37958052429332e-07,4.19873120193481e-09,4.76315186467309e-05,2.21927610422261e-05,0.000443583156554682,0.000613071092677692,3.42548515349688e-06,0.000268402648654395,1.17080046695046e-05
"4",1,0.000138326873200291,4.25595665057525e-05,0,3.41831918069045e-05,1.84155911223407e-05,0.00124455296786091,2.20258723836814e-05,4.16811972815985e-05,0.000372282797043322,0.000229862598337404,1.84844581735792e-05,2.73688509111194e-05,3.24487269193866e-05,4.34344108533751e-07,4.2527510221311e-05,0.000717989588949595,3.45864140065302e-06,3.71613247435529e-09,1.78394336621542e-10,1.87722659790745e-10,5.58890562420536e-07,9.27154667771996e-08,3.43158589789738e-08,3.21804099162614e-08,7.81092929854585e-07,3.34885941130024e-09,4.03305558867688e-06,2.14956986088437e-05,0.000273546809380489,0.000147917490672628,1.63869521854244e-06,0.000149822194386535,1.05528423151951e-05
"5",1.5,5.80560243422185e-05,8.17743227060723e-06,0,2.68483017842576e-07,6.41746216054304e-07,0.00320277924588418,0.000136601412035582,9.10990355232505e-05,1.59344689404522e-05,0.00012153941011736,9.24940515960146e-05,0.000128608398006635,2.71040574404517e-05,2.56437746760679e-05,5.66160394982683e-05,0.00192786797067352,1.301112888045e-05,2.89111868470752e-09,4.22693045983721e-11,9.87897600306898e-11,2.3560761021719e-06,2.88523464540223e-08,6.00798155951432e-07,2.92896117460797e-07,5.89289125742513e-07,2.42659989742711e-07,1.75397233564283e-05,2.68206191687179e-05,5.4454321096231e-05,1.97191988416935e-05,1.22611056905616e-05,2.15474070150585e-05,1.45465704283979e-06
"6",3,5.07151031801515e-05,0.000113863323880028,0,7.68587217465232e-06,2.15460086952174e-05,0.00433718733023373,1.22676935457522e-05,8.70209947244701e-06,3.43790613410363e-05,0.000114796015614856,1.52638010520102e-05,6.54841395818718e-05,2.19657089580852e-05,4.87776912988371e-06,4.64815329820809e-06,0.0040685683184085,2.28604131153407e-06,2.97094098471169e-09,6.25728522227169e-10,4.02474741804676e-11,9.14856225689131e-07,1.57515393547528e-07,7.44656444590492e-09,2.57767945104393e-07,2.97818447081317e-07,3.20702062593189e-07,5.04872834667066e-05,0.000145372804091628,6.13703971402196e-05,5.79819232337747e-06,1.46270832883701e-06,1.75821313166443e-05,1.05999560982892e-05
"7",4.5,6.15581733475841e-05,1.8750211466956e-05,0,1.97338243265305e-05,1.40496922871121e-05,0.0015477512906646,0.000145969630538849,6.00678473784937e-05,3.09733750654715e-05,2.7187801180358e-05,3.11209107913394e-05,4.41001218704465e-06,0.000129103439767033,5.46135234210386e-06,4.804488118155e-07,0.000208376931873836,3.42410432947864e-06,1.48876688284629e-09,2.73678993778992e-10,7.84832857923926e-10,1.33299757874088e-06,1.1423895846147e-06,1.02858849594488e-06,1.14682992885074e-07,2.72590576580293e-07,1.03166199737333e-08,0.000368266252060611,6.40994535919005e-05,0.000885801883057259,0.0001927432658798,9.54046650130311e-06,3.6598940069157e-05,7.83975132267588e-05
"8",6,8.73313483867664e-05,2.57486330736666e-06,0,2.47605188686431e-05,1.40068398227711e-05,0.00091281858090841,8.12261533941027e-05,4.92594929441952e-05,1.88986927690187e-06,3.60332608053511e-05,8.49477221769921e-05,4.31617311663906e-05,8.59386850397978e-06,2.19665309213861e-05,9.24768355877982e-06,0.00733739585714269,3.29890956667602e-05,1.11832122868659e-09,1.59089989934896e-09,8.26649537683417e-10,1.88287019500477e-06,2.74331156538257e-08,5.51122541487328e-07,9.08899697425221e-08,1.3341592785862e-06,5.94071583319326e-07,0.000110173305295621,3.29601233669833e-05,0.000600992623851646,0.000705892953106985,2.59929327190463e-06,0.000171702321229325,2.2706643972576e-05
"9",7.5,0.000140093561105904,4.36179372491709e-05,0,1.30527559854665e-05,1.63739538898829e-06,0.00100120734997199,1.89671636331461e-05,3.57302497676354e-05,1.55719267218814e-07,2.97786591140579e-05,0.000228787056644119,1.40490161584922e-05,6.16795461705311e-06,5.45678866623989e-05,6.74657651106129e-05,0.00130123457060703,2.93051164630103e-05,1.45578297368554e-09,1.88114409490114e-10,1.13761386003897e-09,2.66339414588779e-06,1.34888107474921e-06,1.01473991348888e-06,4.30798433600146e-08,4.59486065997755e-08,4.42713176537487e-07,1.93116683546195e-05,2.84370990715856e-06,0.000173716454803544,0.000217657524385891,8.16741928278221e-06,8.60977421132763e-05,6.72615686743328e-05
"10",9,5.6872856017106e-05,0.000190599857908782,0,5.69620041479839e-05,3.90070722268656e-06,0.00220192779123326,3.94736001580953e-05,3.6881666560533e-05,0.00016528985999503,7.35127514049879e-05,6.75631335712976e-05,3.0057603951325e-06,4.47303964848673e-05,2.49382081690788e-05,2.66355919552851e-06,0.000199736858430026,4.119386594499e-07,7.0305294237595e-09,2.2127160763761e-10,7.01422624717923e-11,1.24219880812407e-06,8.8271193327038e-07,3.81749118606557e-07,1.92867752795913e-09,1.96571125102476e-08,9.68005042796675e-07,3.60072564946e-05,8.35860370316475e-06,2.87460351755583e-05,0.000551726800818027,1.31514028625124e-05,5.43427657900876e-05,3.06033308097469e-06
