"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,9993.14197142666,161977.986294798,0.0721821079741756,119877.835708847,-0.985913653459268,-33.2290283262589,17997.9331324652,-1.03605477824694,29944.2337799065,-6.62887851316827
"2",0.25,9968.62219838285,160213.483538095,1359.79972841807,123315.864938974,570.825592457243,1101.95123262513,16575.3092143025,1.32904582185007,24825.9943970178,909.089383285629
"3",0.5,9950.14125312079,157633.880036162,1510.37166468623,124787.958227088,726.311909177428,4234.12933276444,16063.7186795655,23.418820691967,20567.3789744214,102.321133248861
"4",1,9891.33941364825,152182.022549,1483.78165758568,124881.908971277,728.928190375317,10038.0240622772,15425.8359317286,82.0635949618174,14224.2084437975,-336.360378843948
"5",1.5,9850.1479441842,146833.252849162,1454.1638192283,123512.566595899,705.621918585371,15984.5590099695,14950.8964354494,172.686174261724,10075.3438092103,563.803079067738
"6",3,9675.81686628687,132643.690483202,1447.62787089743,113740.524369894,645.471436981444,31167.3568551941,13573.6781791055,528.665045604358,4476.68494013213,1881.44878625963
"7",4.5,9518.06061075038,120329.094400755,1478.86158340093,101586.80269453,590.887736199849,44359.2608848612,12417.5958901228,886.298114881691,3244.33045368538,2198.80628130898
"8",6,9350.69762349953,109836.656966885,1532.24950346453,90684.2010268163,543.857501717628,55498.8464228635,11434.6197968135,1189.03968520199,3228.03148287196,5280.50307585671
"9",7.5,9201.53694920117,101036.656616176,1582.85440219362,81117.5487572211,502.852060613545,65254.9584391443,10598.9740823725,1426.78860189603,3461.82632397878,9302.81582972357
"10",9,9045.74448480453,93219.4393505185,1638.57120827436,72678.0951992741,466.966393649859,73093.0049226371,9869.4022110141,1613.66594657487,3781.49679409877,11922.5668918864
"11",10.5,8900.28535721247,86755.1110951219,1689.84519334884,65674.9869148902,435.03731550597,79794.8109361541,9265.93287034159,1773.67363538816,3942.11834937538,17101.9660375784
"12",12,8749.11194540613,81174.0012516708,1739.86150778847,59487.9183223463,403.808051980299,86111.5615595324,8693.19045691914,1906.13815535653,4228.46610565014,21523.2550702627
"13",18,8185.58948758338,66235.7740123283,1910.3946178779,43077.5753244673,322.552900889289,101736.16272126,7273.02077388128,2269.49924561958,4691.54663510096,41540.8417812148
"14",24,7665.17621892988,58986.0170683278,2003.34976409846,35231.944365652,273.332372183243,110083.666309898,6564.98260624302,2441.28962525776,4886.53371852178,63721.1831539589
"15",36,6691.12861231079,55067.9868666946,1905.21140386798,30662.104762444,226.966151162409,113877.999983302,6155.18283331675,2540.9009770463,5007.86683969175,107052.045650504
"16",48,5853.94144902818,57246.6073049842,1612.99438294538,32793.4564183003,207.549537852706,112223.975336735,6378.99375652418,2493.85600644598,4986.13215235056,152568.827339625
"17",100,3281.38704004093,80985.0651431412,674.84144787842,57676.1947257337,154.285870930949,87752.9584228745,8636.80115978808,1977.79734095156,4319.32999171022,331794.005937753
"18",250,623.731334230626,142061.860686622,86.6086901055981,125139.019648744,44.6720690815786,22908.8191593797,14377.232055111,538.496669562386,2043.82046925096,625300.792457267
"19",500,29.3960962161671,162164.849529292,2.8108677097055,147496.785958843,2.01147641762324,1378.46848556068,16255.894379999,34.4661525927374,1036.07800091868,710880.877347717
