"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,615.313256798825,18648.4878509654,53.6558064961688,708218.742256585,35.8352847881396,424665.65214222,6461.23653037417,163.30355457385,8751.18583939527,12868473.0645222
"2",0.25,1036.53621518813,59938.6298320681,3.39825510447,73124.3578329144,1.41978036709184,320436.387724129,7178.87275983686,287.739523410538,29527.8776374476,6400879.01969368
"3",0.5,5338.10057627167,847659.145243937,0.552821906454819,27828.0228658007,0.705978922758236,1259513.42294915,635.423262332372,22.8942945673244,8174.1400284903,8133377.60867871
"4",1,674.199032397313,45623.4862351365,69.4110824696983,111561.077430911,0.279625289990141,233299.187814444,15905.6535194267,163.281767439656,9311.28664483593,31534508.2268569
"5",1.5,962.023107681473,325725.108657104,27.7938822387647,219323.320765263,13.7732085604078,468149.058410208,2670.31004024117,62.4846253135616,13650.2639728104,4426191.53285225
"6",3,569.649414651017,82529.8026479141,209.320265860278,234302.367813929,13.0769815434194,97678.7348548946,702.454274177547,3.40497652838422,185.22808365953,586910.870487716
"7",4.5,160.908545831299,30659.6131383294,25.1578859071528,237603.282790067,18.8147330442262,103588.737022571,4678.7252343408,230.338029498586,34023.6377987645,2443840.67458668
"8",6,1451.90078270394,241427.880647002,74.5087812439297,493380.442307858,25.6368607076038,162456.371487048,770.575876008027,75.5378468532322,48361.5375433155,14232868.4905001
"9",7.5,1051.46422238702,529178.361248511,120.545543007044,69415.4396103444,0.886388050093163,102806.113013117,959.206040370106,57.0037800059545,52622.1665546179,4065355.93271416
"10",9,1213.5948818478,202098.4160003,332.118878921809,54173.17779346,3.80078500476087,26026.2187351187,15456.9168532578,140.27497829088,4279.85118453718,2766436.00850526
"11",10.5,860.628678104225,123959.484011469,2.90894105287507,514208.063028414,8.36576290740764,244663.517970483,8724.82488084233,423.930230272588,36499.0505969424,2533735.867491
"12",12,909.906322570083,76821.6608084536,67.7125754214269,217075.652678069,1.6046265592549,324163.438593772,250.639612332872,400.371475604038,610.881751933644,8959727.86936779
"13",18,767.032115788178,1799920.37091483,136.095529915119,560184.156164411,1.12041535427422,226544.763054139,7327.12635223189,345.065279329336,41049.5701071136,17819545.9482215
"14",24,3011.15801529874,145201.146424604,161.517485344642,258534.260080104,7.47651759563236,75183.5977932169,900.271412351938,26.1627644784973,13868.6773013935,22990775.5609201
"15",36,522.990032042703,405184.75641176,223.670967797308,23227.0282237119,0.267902650253349,286100.874542044,3738.31428420251,133.576770375779,5580.96053593506,6218128.28070862
"16",48,633.754049928602,73593.9203063864,61.1264357866814,99249.362563957,6.29199066179122,313064.85836572,6646.22147488773,145.762982367961,33561.2185864124,29402682.2781377
"17",100,2195.98345785947,4172.96031491879,15.1967330605242,238246.493167242,1.40163681142372,39624.0228086918,1682.23644537354,126.846876511558,833.872543845574,49488857.190984
"18",250,9377.88296195692,186241.150325826,22.3385646980739,78959.0088438684,2.38026808885218,73771.3197913096,9518.81607648311,1185.5371135697,19815.4740627317,32384327.729322
"19",500,411.107834926624,532761.988620128,48.9223409517865,29613.1367819692,4.92466528829859,22446.8788067362,2464.07433625666,25.8981736722973,28110.2910900123,32308491.2686737
