"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,-3109.55509777887,-126375.765226228,56038.3350742466,25499.5697263803,24096.9913569328,76008.4565046223,-63243.0696079355,1171.24785765084,-161259.389110182,81767.7292766828
"26",0.25,1508.80585875893,-24409.3598866311,-82.4693275935715,274810.1062856,3493.57199377687,25254.466589779,-8680.9371064046,-2563.14883391631,-283994.179809579,-24170.384312703
"51",0.5,-831.613211817967,-125466.886174923,88.4619981754895,-6203.58646359819,573.341390117548,134350.197204948,-14118.4083056723,2232.33882884077,-121352.123282708,-3657.2421119057
"101",1,-1469.58661573262,-126356.273816695,242.007783788722,-73368.658403313,-170.174139962455,135676.2279921,-12876.5387337207,2904.50897706016,-58936.3041263878,14191.5895913144
"151",1.5,-1024.21223848069,-107593.319318694,123.220327526724,-85595.0799718848,-443.19281015953,115383.770006778,-10375.6682994062,2793.62395660633,-28125.3411758044,-7707.65407465724
"301",3,-1170.18671623009,-79492.0348006126,243.120317079274,-73950.3073041124,-384.741109739934,85541.432319922,-7545.7750394653,2105.09235286713,-10657.9404341792,12816.4821687178
"451",4.5,-1119.48066390687,-71753.7074081192,490.856439541858,-75346.0734164983,-332.861142930824,77836.6996398909,-6828.61598829004,1869.97752124046,-1894.6172228616,18474.752886932
"601",6,-1190.33053021303,-53579.0279407083,375.991230653426,-56890.1588556619,-258.965244525939,58008.8475380981,-5089.05809557291,1388.66828143227,-653.453346999413,30257.9857146497
"751",7.5,-1157.25148222373,-43679.8771293252,310.818448749615,-47231.2419953232,-217.439473367733,47269.714256312,-4144.02886752032,1126.66626075247,261.518673576575,33617.2105298238
"901",9,-1073.75529308592,-39492.1973630117,346.989385057896,-43373.91077957,-193.160727715622,42501.181691463,-3737.68202150495,996.639722642612,999.159165583933,27977.2782710461
"1051",10.5,-1049.6182898878,-32695.1205058285,272.282564587158,-36161.0832392325,-166.010054639059,35183.2549268001,-3093.29607501058,821.956104434776,1054.23244136227,31293.669850882
"1201",12,-975.369842837608,-22125.8129261405,165.240717184133,-24623.2217185898,-120.371330244723,23746.4284033776,-2094.36959830964,545.906183241868,856.917715762847,32996.3808646389
"1801",18,-938.289166573668,-10709.2677871697,-25.8457595275559,-12027.4759682725,-72.9465860241589,11689.2849635333,-1017.95498313822,261.922735250664,429.70985372358,39368.9243138724
"2401",24,-777.837027778332,-3884.55109527422,-80.4949367300196,-4504.64321243635,-46.8486339740366,4344.51939559949,-372.514665908056,95.3310522868378,231.499649695252,39026.868273766
"3601",36,-628.948226092689,2186.68991829327,-126.489157183414,2302.97642451478,-28.7365388658145,-2225.55660808575,203.454146026161,-45.1107753160613,-52.5881099320031,41007.7439748129
"4801",48,-395.498195915934,3655.89530162106,-96.8050192091141,3966.71865155804,-14.6215410791228,-3846.98438226769,342.908399866246,-83.4076807618658,-116.136963320059,29968.7038238335
"10001",100,-162.510886948439,2928.88080197736,-46.65672515398,3204.1626567443,-5.0365457227457,-3100.53275553219,274.869778708307,-68.9595512144479,-107.557945223562,15509.6246624598
"25001",250,-74.4438897002055,1966.87191813544,-25.070722071689,2157.74832131865,-1.65421332759763,-2087.9809492908,184.714224737036,-46.7725480664285,-74.084333765768,8395.25162021164
