"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,10823.0201665837,158472.053339344,-218.959931824859,97745.2813880245,-59.4717879186023,1552.87904907408,18073.9552241723,-631.230249239907,29273.1211915492,39794.8091129505
"2",0.25,7864.50923971316,176684.326128261,1271.38013181637,122162.699567102,640.450485884614,-18949.5649405805,18698.2472224994,455.972769483896,29093.7214997398,-17590.4713198619
"3",0.5,8433.13405822024,128165.673329935,1338.94559943441,100973.10082247,697.657320132798,24932.5671228835,14278.5318877146,614.732327822231,26544.9019030255,-53709.5068057246
"4",1,11037.541875067,155312.971911079,822.785321743625,101007.413785165,686.269015855228,20803.7603806672,14294.2547273659,1134.05418725163,15221.7401983797,-82409.5088384836
"5",1.5,10367.2511415541,129076.494082354,2053.17987953762,113722.012789805,462.307453163567,14673.4718204465,18595.8408154093,-39.3015086445623,3598.77727246667,69252.0053289831
"6",3,11299.9912396828,102574.597345962,1287.14028348277,111966.258181822,736.289067264649,41817.3881825428,14434.039604119,-65.7077215360592,5682.88637680012,68523.8103037886
"7",4.5,9199.04781457823,112739.477078481,1260.33309621472,74132.9568952874,654.56531532227,54797.3113309601,14792.3907068695,779.050091197653,2603.42114260674,-50826.2625018685
"8",6,9700.64342807798,99438.3840261117,1520.41840023341,107136.003433481,568.453670924322,77188.4111443895,9504.47526572132,888.399499662999,-5051.76689788765,18400.4720795731
"9",7.5,11060.3475837005,121536.292163117,1170.01321535472,89344.4575989083,631.87978172029,52806.1212265174,7860.8966039116,1540.07794380773,-1240.92205751737,-130189.065741267
"10",9,7736.65438396806,76605.382739884,1306.38752223683,76410.9864815714,408.610020110846,70110.6199245208,7957.66801184155,1579.7035704709,7068.30667094094,109900.544892515
"11",10.5,11361.2176961168,105638.374147763,1446.28016571509,60901.0478326739,448.779421922984,74624.1166601115,8408.74790827756,2083.50711741544,-4205.52773756123,31358.8963228998
"12",12,9055.69108936887,80556.1965507617,1835.69562788761,50277.1189128566,398.722689225449,94893.4963462136,6073.53026653373,1242.91587682907,1104.45430084284,-8993.12525097195
"13",18,8773.88765957374,80679.6663510994,2289.71474066941,39366.2198704902,154.030126901597,88001.4443872226,10256.3844700444,2305.36638920754,12140.1736637046,-99008.7749371688
"14",24,4053.07100541284,47616.7227240779,1952.65957574654,62321.3958931558,290.904256494755,107748.318178329,8531.09821519166,2590.2119392601,1679.81480675804,19777.5487774101
"15",36,5210.24152222811,49122.3916338161,1929.01275496655,20881.5998666553,321.228926568904,100767.531244966,6818.48593509134,2242.92568991944,1401.13376030801,43942.0192972494
"16",48,4168.63005512449,37318.6828889394,2055.90280220654,40150.054712425,303.823073501718,103287.64168067,4710.19004636947,1971.14621630111,5233.44123342273,301919.042091589
"17",100,4795.22654589169,100319.791095785,334.877176940625,68205.5880465667,161.468718336984,75673.2656738286,8481.07045996357,1580.91618204012,1521.45941852828,189524.471558431
"18",250,2165.57644309025,121327.359706208,320.836912498374,117016.086224891,102.48717684934,39250.8214006885,15070.3857636044,-136.597059004148,9538.31158057293,537121.047582249
"19",500,1994.6191438662,154348.214014032,-663.844612660323,144330.832007503,-142.965778033346,-15287.7507769272,18041.298706163,475.651151697877,6784.15228971074,734307.052701184
