"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,13438.5991220152,168704.699856315,-69.8070206313695,122264.688888998,94.9606819757858,-5656.69580077373,17166.9782496427,-516.307726300975,38366.2223643074,76949.7794375764
"2",0.25,11409.3867560099,180107.576929254,1421.70208443239,100232.564732764,600.680641430347,-6346.56603076657,18069.7755462374,-241.217111290953,26809.7205299761,147567.414946316
"3",0.5,9940.37215748939,147565.016433359,1594.18838187653,124017.681155402,1027.76843139238,-21077.1549924837,17895.3758260883,-828.391345214202,18971.2814571017,82806.494831172
"4",1,9840.9904642354,144740.711662931,1408.12781432897,101738.222423311,651.925555054898,16872.0519652944,14780.1588233722,643.648042738175,17729.7151306957,96575.7489571636
"5",1.5,7642.79596427385,147901.085425022,1304.11413338701,128394.397459005,580.447554509882,20578.6820233162,13638.452206384,179.509195092427,6528.9908938943,1212.7151454903
"6",3,8757.72039011173,126769.809911338,1084.85427165289,108361.766795441,811.678072980399,33575.6924992787,13265.8889189471,438.190322162431,135.795480784136,-60451.223680672
"7",4.5,12049.5335180889,182752.005972422,1734.79510096638,86044.7174890239,756.113876556254,46180.8508751832,10645.7150391301,821.671104319377,1536.34375339568,51649.8670310455
"8",6,6144.65314139708,120714.070089893,1781.41551397992,81791.390371307,364.538894043879,68162.7808227671,9754.54584596215,1212.94645071642,3225.31520133978,-62229.3583463348
"9",7.5,9260.95342338982,113547.37456249,1470.64700603484,90109.7238254499,473.899913406037,55098.7253114442,11375.2002436957,1441.45272744727,163.338221583977,-66708.859223071
"10",9,8064.50078440728,130623.401482961,1621.57603384062,51938.1301323467,503.092939547724,107600.245521128,11416.8158201927,1499.48312761901,1463.23308812957,-141467.89851158
"11",10.5,5823.55306302595,69592.2756562491,1775.90779290567,65812.6641257941,670.537994954499,103410.817115827,10367.1078559693,2192.50208961468,2365.64015407421,238788.400906671
"12",12,7652.53975001367,75280.8758060492,2187.81261861873,111792.743869809,150.061984608664,85370.8195484822,7108.65846342635,1933.16276938022,6938.68325832257,-50785.758237277
"13",18,8973.17857537872,75915.4438203024,1573.15259514149,18075.3467367501,321.629280476055,112464.861687976,9477.79803524156,2789.88873561882,4115.51844106274,-126868.346962218
"14",24,6961.1528242292,47209.6473625682,2186.02529074477,42818.1696458086,210.134772643079,94639.6157698359,9420.49347704236,1912.30959122108,-2444.49911253869,-34923.6028215403
"15",36,6694.07961165958,113253.361273314,2090.88776156916,48805.3230891531,145.891170654307,113793.028534458,7123.38935208733,2758.63115350596,9097.45316198668,121379.018721257
"16",48,4321.10590479698,65463.993723341,1652.94302721317,18619.6582587522,188.960700705719,88302.1313822891,3661.62925790873,2844.17446586177,11442.8501633414,-34949.5143369449
"17",100,3675.97676484018,91719.4520706143,951.353974536663,78952.5357423091,103.41628614449,66587.2186600012,9082.19004800199,1680.28356483781,-1389.62171753809,265219.213326938
"18",250,-1826.6305664158,160812.639475129,320.97256000775,142350.695496813,-93.4943729932393,-9222.99024159023,15203.9662254305,344.965713565335,-112.193998416777,503826.775720597
"19",500,-635.223759720585,187307.492940671,-84.0527888581494,130294.633914755,-111.565197649257,-7226.38592557982,17742.2797682832,-681.800956899114,4051.15447125629,729862.28543252
