"","time","receptors","R_Smad_cyt","R_Smad_P_cyt","Smad4_cyt","R_Smad_P_Smad4_cyt","R_Smad_P_Smad4_nuc","R_Smad_nuc","R_Smad_P_nuc","Smad4_nuc","Pi"
"1",0,95269.6957900785,39668347.9485202,6006.28490797898,12409534.0636035,300.439454547456,6062649.82878288,22910.8963900717,21860.3508446588,41548.5434454747,4021791539.01305
"2",0.25,307569.264688317,28394904.8071414,4461.52267126667,181155220.182524,1961.43123771535,943223.333049328,136898.067371969,5235.97201272085,1183548.55273877,1537269690.88357
"3",0.5,507664.283963935,20061443.1925941,20276.0993246109,4538625.71691776,1461.82345234031,36275145.3671214,225088.884360867,15395.4803844359,467878.223855023,1904764217.71678
"4",1,116764.213535892,4025713.31331697,7863.19675432503,3816956.29238871,5283.15700722398,48824356.3612968,536454.762970658,177.126382833116,758859.777520316,269551413.992008
"5",1.5,63893.2207209175,91666636.4864676,5799.78772214705,2349566.33943928,1906.69325291159,12374673.0514468,64012.595632634,54330.7033545196,18729.7657157885,33406229.4130751
"6",3,148113.107769644,29421036.9469913,10609.22145122,9081224.63322389,385.660775479376,68818596.8248186,184519.89376276,32120.4084947225,1637146.14114592,3876064104.69414
"7",4.5,61839.7242964431,4086453.54823502,14730.8016875396,69488741.4638144,2104.46913070048,33751924.064725,14378.8135692214,33004.4733289709,2219895.55230325,522794445.909892
"8",6,535188.071875609,13182575.5947074,4320.19453300989,52553693.9048652,61.6716029667339,14536804.5196726,8059.25869367691,5901.15720309292,2093053.80065965,1010655109.20548
"9",7.5,91253.7111837955,5846332.43139456,30484.394029336,163511280.06279,265.409329647838,63169610.4702122,113171.153270419,8164.66252014623,1434629.36692484,352163411.370028
"10",9,39259.8993799683,1184087.08752321,5655.5038840172,6087757.37159933,4695.23255621529,24984419.503671,431609.841643703,3450.41481623302,3085851.19195611,22210566.5475721
"11",10.5,355910.466592261,22989381.2480166,20735.1445133757,14770946.1617833,2269.56042470596,64611723.2141711,1036279.3748287,5088.25279280551,2298132.61611954,96562501.5639489
"12",12,23028.9895772109,27530158.6860275,9341.48756325686,18640501.1492591,28.5424635399636,7941293.07357773,181826.1066867,12344.7589028776,307136.645986096,1258257032.95844
"13",18,197691.610538171,3393087.73811322,588.981044221239,2692318.25987728,203.413774942755,64342936.3336044,676316.372190602,15365.6775986282,169997.271912451,2135766857.01278
"14",24,90922.5084795692,54763032.6978672,11898.7159885026,43314585.0069776,416.430420872801,32874294.4193614,157658.315729555,16227.9119904206,2926234.76515104,67996536.5396821
"15",36,315016.284784274,48803686.4486625,6007.01502958022,38764253.6118466,703.72882724556,11561635.0371927,570818.567094901,6958.10821032377,3679144.64350737,9170327764.33958
"16",48,86960.6438122435,3627354.58663412,8806.75081974469,2000791.03224727,826.755075487337,19891123.6354498,856110.648831848,1202.20962944765,2976060.08980017,100544530.415704
"17",100,80475.3530980594,975375.19623886,2235.96690325261,24344250.3601847,1973.33563855676,29662952.0811234,424134.902880986,36623.9096600338,4963736.49719403,3412775823.95718
"18",250,226190.16761235,11732779.1934132,14001.8574705994,3016063.16561827,741.283397434518,38714306.8613097,494539.84204975,65872.9634254796,5976.40137951803,758187830.896819
"19",500,360962.910424024,3907531.99741823,1919.40314555951,29324716.9524083,707.488811606264,19363108.425158,195370.159099747,13896.397165294,488043.773478982,2300441666.64886
