Model;time;IR1_P;IR1_P_std;IR1_P_fac;IRS1_P;IRS1_P_std;IRS1_P_fac
1;0;0;2.9668108;1;0;10.3675897;1
1;0.9;100;2.9668108;1;227.6666667;10.3675897;1
1;1.15;82.66666667;2.9668108;1;205;10.3675897;1
1;1.3;77.33333333;2.9668108;1;169.6666667;10.3675897;1
1;2.3;60;2.9668108;1;145.5;10.3675897;1
1;3.3;50.66666667;2.9668108;1;121.6666667;10.3675897;1
1;5.3;56.66666667;2.9668108;1;110.3333333;10.3675897;1
1;7;45.66666667;2.9668108;1;95;10.3675897;1
1;10;52.33333333;2.9668108;1;110;10.3675897;1
1;15;41.33333333;2.9668108;1;86.66666667;10.3675897;1
1;20;42.66666667;2.9668108;1;73;10.3675897;1
1;30;35.33333333;2.9668108;1;100;10.3675897;1
2;0;0;1;0;14.41663128;5.153641567;1
2;0.34;0;1;0;26.72434536;5.153641567;1
2;0.6;0;1;0;42.03545648;5.153641567;1
2;0.9;0;1;0;58.25789101;5.153641567;1
2;1.2;0;1;0;58.75237084;5.153641567;1
2;1.5;0;1;0;52.46468507;5.153641567;1
2;4;0;1;0;56.40452937;5.153641567;1
2;4.34;0;1;0;67.90113234;5.153641567;1
2;4.6;0;1;0;66.2965322;5.153641567;1
2;4.9;0;1;0;69.52208068;5.153641567;1
2;5.2;0;1;0;74.6438075;5.153641567;1
2;5.5;0;1;0;70.36666667;5.153641567;1
3;10;0;1;0;18.38514162;17.57832734;1
4;10;0;1;0;29.11532728;17.57832734;1
5;10;0;1;0;26.36491099;17.57832734;1
6;10;0;1;0;28.29242878;17.57832734;1
7;10;0;1;0;42.30784538;17.57832734;1
8;10;0;1;0;105.0285916;17.57832734;1
9;10;0;1;0;94.97140836;17.57832734;1
