Model;time;RecSurf_obs;RecSurf_obs_std;RecSurf_fac;IL13_cell_obs;IL13_cell_obs_std;IL13_cell_fac;pIL4Ra_obs;pIL4Ra_obs_std;pIL4Ra_fac;pJAK2_obs;pJAK2_obs_std;pJAK2_fac;SOCS3mRNA_obs;SOCS3mRNA_obs_std;SOCS3mRNA_fac;CD274mRNA_obs;CD274mRNA_obs_std;CD274mRNA_fac;SOCS3_obs;SOCS3_obs_std;SOCS3_fac;pSTAT5_obs;pSTAT5_obs_std;pSTAT5_fac
1;0;1.289752779;0.09585014;1;0.615740257;0.259279706;1;0;1;0;0;1;0;1.562357019;8.658313245;1;0;1;0;8.334077674;14.29278826;1;0;1;0
1;5;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
1;10;1.57854438;0.105281265;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
1;15;0;1;0;0.295868505;0.259279706;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
1;20;1.515091272;0.105577051;1;0;1;0;0;1;0;0;1;0;0.992868163;8.658313245;1;0;1;0;6.442655791;14.29278826;1;0;1;0
1;30;1.50496416;0.10558633;1;0.322285203;0.259279706;1;0;1;0;0;1;0;14.83449477;8.658313245;1;0.01;0.023068425;1;0;1;0;0;1;0
1;40;0;1;0;0;1;0;0;1;0;0;1;0;11.675177;8.658313245;1;0;1;0;7.624794468;14.29278826;1;0;1;0
1;50;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
1;60;1.617802874;0.105586637;1;0.169527777;0.259279706;1;0;1;0;0;1;0;11.62681448;8.658313245;1;0.042114502;0.023068425;1;8.688719277;14.29278826;1;0;1;0
1;80;0;1;0;0;1;0;0;1;0;0;1;0;5.710282463;8.658313245;1;0;1;0;0;1;0;0;1;0
1;90;1.572371701;0.105586642;1;0.257966287;0.259279706;1;0;1;0;0;1;0;1.243430459;8.658313245;1;0.01;0.023068425;1;13.29906012;14.29278826;1;0;1;0
1;100;0;1;0;0;1;0;0;1;0;0;1;0;0.659244766;8.658313245;1;0;1;0;0;1;0;0;1;0
1;120;1.430619477;0.105586642;1;0.231549589;0.259279706;1;0;1;0;0;1;0;14.54733886;8.658313245;1;0.009833619;0.023068425;1;16.43172761;14.29278826;1;0;1;0
2;0;0;1;0;0;1;0;0.185418978;0.58048155;1;0.221391383;0.305764023;1;1.399863921;8.658313245;1;0;1;0;35.10201482;14.29278826;1;1.716733095;1.320936767;1
2;4;0;1;0;0;1;0;0.442239546;0.580494258;1;0.689572875;0.305773837;1;0;1;0;0;1;0;0;1;0;0;1;0
2;5;0;1;0;3.974680793;0.485084379;1;1.63082953;0.5804962;1;1.278252103;0.305776173;1;0;1;0;0;1;0;0;1;0;9.772025181;2.945987428;1
2;7;0;1;0;0;1;0;1.926293409;0.580499026;1;1.688749897;0.305779649;1;0;1;0;0;1;0;0;1;0;0;1;0
